episode,total_reward,emergency_rejections,icu_utilisation
515,130.0,0,0.64
516,124.0,1,0.68
517,139.0,1,0.82
518,151.0,0,0.88
519,121.0,0,0.76
520,124.0,1,0.76
521,160.0,1,0.88
522,100.0,3,0.96
523,157.0,0,0.82
524,109.0,0,0.92
525,166.0,0,0.86
526,106.0,2,0.7
527,154.0,1,0.66
528,133.0,0,0.86
529,127.0,0,0.68
530,106.0,2,0.66
531,145.0,0,0.8
532,181.0,0,0.74
533,142.0,0,0.7
534,151.0,0,0.82
535,136.0,0,1.0
536,124.0,1,0.8
537,124.0,1,0.88
538,100.0,0,0.94
539,169.0,0,0.68
540,178.0,0,0.96
541,121.0,1,0.74
542,187.0,0,0.94
543,109.0,3,0.78
544,154.0,0,0.84
545,94.0,0,0.82
546,127.0,0,0.86
547,163.0,0,0.48
548,166.0,0,0.76
549,136.0,0,0.8
550,193.0,0,0.66
551,136.0,0,0.84
552,103.0,1,0.92
553,139.0,0,0.8
554,136.0,2,0.76
555,148.0,0,0.86
556,118.0,0,0.84
557,112.0,2,0.96
558,112.0,1,0.94
559,136.0,1,0.96
560,121.0,1,0.62
561,136.0,0,0.92
562,175.0,0,0.86
563,127.0,1,0.74
564,118.0,1,0.82
565,145.0,0,0.8
566,112.0,1,0.94
567,181.0,0,0.78
568,115.0,1,0.62
569,160.0,0,0.76
570,115.0,1,1.0
571,100.0,0,0.94
572,118.0,3,0.74
573,109.0,1,0.8
574,181.0,0,0.68
575,97.0,1,0.9
576,97.0,1,0.86
577,193.0,0,0.56
578,169.0,0,0.88
579,73.0,1,0.92
580,148.0,0,0.84
581,88.0,1,0.82
582,94.0,1,0.94
583,136.0,1,0.62
584,118.0,0,0.74
585,127.0,2,0.76
586,121.0,3,1.0
587,127.0,0,0.9
588,115.0,0,0.74
589,70.0,2,0.88
590,127.0,1,0.88
591,121.0,0,1.0
592,175.0,0,0.74
593,130.0,0,0.8
594,154.0,0,0.68
595,172.0,0,0.9
596,175.0,0,0.86
597,154.0,0,0.74
598,160.0,0,0.74
599,157.0,0,0.78
600,154.0,1,0.82
601,112.0,2,0.82
602,151.0,0,0.7
603,169.0,0,0.86
604,52.0,1,0.96
605,151.0,0,0.84
606,124.0,1,0.9
607,160.0,0,0.92
608,178.0,0,0.78
609,169.0,0,0.88
610,169.0,0,0.76
611,136.0,0,0.94
612,166.0,0,0.74
613,151.0,0,0.7
614,118.0,2,0.82
615,112.0,1,0.86
616,145.0,0,0.78
617,160.0,0,0.6
618,121.0,0,0.94
619,136.0,0,0.9
620,85.0,4,0.84
621,112.0,1,0.82
622,82.0,1,1.0
623,145.0,0,0.8
624,82.0,1,0.9
625,127.0,1,0.76
626,124.0,1,1.0
627,163.0,0,0.88
628,121.0,0,0.76
629,151.0,0,0.86
630,178.0,0,0.86
631,136.0,1,0.74
632,145.0,0,0.88
633,103.0,2,0.98
634,70.0,2,0.96
635,112.0,0,0.92
636,172.0,0,0.84
637,91.0,2,0.9
638,133.0,0,1.0
639,85.0,2,0.82
640,109.0,2,0.82
641,175.0,0,0.7
642,172.0,1,0.78
643,181.0,0,0.6
644,163.0,0,0.82
645,145.0,0,0.94
646,124.0,1,0.68
647,130.0,0,0.84
648,172.0,0,0.92
649,151.0,0,0.7
650,91.0,1,0.84
651,97.0,1,0.98
652,112.0,0,0.66
653,127.0,1,0.8
654,139.0,1,0.9
655,160.0,0,0.8
656,142.0,0,0.72
657,79.0,2,0.98
658,139.0,0,0.78
659,148.0,0,0.58
660,76.0,1,0.86
661,136.0,0,0.86
662,133.0,0,0.84
663,103.0,2,0.98
664,187.0,0,0.94
665,127.0,0,0.84
666,130.0,1,1.0
667,175.0,0,0.9
668,163.0,0,0.86
669,136.0,0,0.68
670,154.0,0,0.92
671,187.0,0,0.66
672,130.0,0,0.96
673,136.0,0,0.8
674,163.0,0,0.68
675,172.0,0,0.74
676,112.0,0,1.0
677,109.0,0,0.94
678,142.0,2,0.72
679,172.0,0,0.86
680,130.0,1,0.8
681,115.0,0,0.9
682,184.0,0,0.62
683,145.0,0,0.72
684,145.0,0,0.84
685,130.0,0,0.86
686,127.0,0,0.82
687,127.0,1,0.9
688,145.0,0,0.9
689,112.0,0,0.96
690,109.0,1,0.82
691,169.0,0,0.54
692,130.0,1,0.84
693,136.0,0,0.76
694,157.0,0,0.64
695,94.0,2,0.92
696,109.0,0,0.72
697,178.0,1,0.84
698,181.0,1,0.84
699,130.0,1,0.9
700,112.0,2,0.82
701,172.0,0,0.88
702,160.0,0,0.88
703,154.0,0,0.9
704,79.0,0,0.82
705,175.0,0,0.56
706,133.0,1,0.88
707,100.0,2,0.8
708,163.0,0,0.92
709,112.0,1,0.86
710,160.0,0,0.86
711,127.0,1,0.82
712,145.0,0,0.68
713,118.0,0,0.94
714,136.0,0,0.94
715,163.0,0,0.78
716,157.0,0,0.82
717,193.0,0,0.8
718,157.0,0,0.78
719,154.0,0,0.92
720,142.0,0,0.7
721,112.0,0,0.76
722,127.0,0,0.88
723,91.0,2,0.84
724,85.0,3,0.94
725,88.0,3,0.92
726,127.0,1,0.86
727,175.0,0,0.7
728,148.0,0,0.94
729,175.0,0,0.62
730,145.0,0,0.72
731,103.0,1,0.52
732,127.0,1,0.9
733,115.0,0,0.9
734,145.0,0,0.86
735,139.0,0,0.8
736,91.0,3,0.78
737,79.0,1,0.86
738,148.0,0,0.94
739,163.0,1,0.74
740,124.0,0,0.88
741,82.0,2,0.88
742,136.0,0,0.9
743,85.0,2,0.94
744,148.0,0,0.82
745,130.0,0,0.94
746,112.0,2,0.82
747,133.0,0,0.92
748,103.0,1,0.76
749,163.0,0,0.82
750,118.0,0,0.84
751,163.0,0,0.96
752,88.0,1,0.88
753,187.0,0,0.78
754,112.0,0,0.88
755,148.0,1,0.96
756,133.0,2,0.92
757,136.0,0,0.74
758,130.0,0,0.88
759,142.0,1,0.88
760,85.0,1,0.9
761,172.0,0,0.84
762,106.0,0,0.84
763,121.0,1,1.0
764,145.0,2,0.76
765,112.0,0,1.0
766,121.0,0,0.92
767,202.0,0,0.68
768,118.0,0,0.96
769,136.0,2,0.66
770,142.0,1,0.74
771,115.0,2,0.86
772,121.0,0,0.98
773,76.0,0,1.0
774,133.0,1,0.74
775,166.0,0,0.78
776,151.0,0,0.9
777,85.0,2,0.9
778,127.0,0,0.94
779,109.0,2,0.9
780,148.0,0,0.84
781,154.0,0,0.8
782,157.0,0,0.8
783,148.0,0,0.96
784,190.0,0,0.66
785,139.0,1,0.9
786,175.0,0,0.84
787,85.0,3,0.78
788,136.0,1,0.76
789,91.0,2,0.9
790,85.0,0,0.98
791,61.0,3,0.88
792,94.0,1,0.82
793,139.0,1,0.88
794,202.0,0,0.88
795,160.0,1,0.98
796,160.0,0,0.88
797,127.0,0,0.86
798,154.0,0,0.86
799,121.0,0,0.86
800,154.0,1,0.7
801,172.0,0,0.92
802,142.0,0,0.92
803,178.0,0,0.56
804,160.0,0,0.58
805,91.0,2,0.96
806,124.0,1,0.76
807,130.0,2,0.96
808,169.0,0,0.78
809,172.0,0,0.92
810,154.0,0,0.92
811,172.0,1,0.66
812,154.0,0,0.78
813,160.0,0,0.74
814,130.0,2,0.8
815,124.0,1,0.88
816,172.0,0,0.66
817,109.0,1,0.98
818,157.0,1,0.74
819,148.0,0,0.98
820,148.0,0,0.5
821,148.0,0,0.9
822,169.0,0,0.96
823,139.0,0,0.76
824,169.0,0,0.88
825,133.0,0,0.84
826,145.0,0,0.7
827,133.0,0,0.82
828,130.0,1,0.78
829,151.0,1,0.8
830,118.0,0,0.86
831,145.0,1,0.68
832,112.0,1,0.94
833,88.0,1,0.68
834,154.0,0,0.98
835,97.0,1,0.96
836,112.0,0,0.86
837,106.0,1,0.94
838,133.0,0,0.8
839,130.0,0,0.96
840,124.0,0,0.82
841,109.0,2,0.9
842,139.0,0,0.96
843,139.0,0,0.8
844,166.0,1,0.94
845,142.0,1,0.82
846,94.0,1,0.88
847,115.0,0,0.94
848,124.0,1,0.84
849,130.0,2,0.74
850,127.0,0,0.98
851,94.0,2,1.0
852,142.0,0,0.94
853,151.0,0,0.84
854,118.0,1,0.72
855,166.0,0,0.82
856,172.0,0,0.8
857,160.0,0,0.88
858,88.0,3,0.84
859,88.0,2,0.84
860,181.0,2,0.98
861,130.0,0,0.74
862,133.0,0,0.9
863,118.0,0,1.0
864,151.0,0,0.86
865,139.0,1,0.72
866,145.0,0,0.68
867,178.0,0,0.82
868,163.0,0,0.86
869,157.0,1,0.76
870,127.0,1,0.98
871,139.0,1,0.88
872,106.0,0,0.96
873,100.0,2,0.9
874,34.0,3,0.96
875,130.0,0,0.78
876,91.0,3,1.0
877,148.0,0,0.9
878,193.0,1,0.56
879,118.0,0,0.76
880,130.0,1,0.78
881,172.0,0,0.82
882,133.0,0,0.84
883,130.0,0,0.66
884,133.0,1,0.7
885,163.0,0,0.72
886,73.0,4,0.76
887,121.0,1,0.94
888,124.0,0,0.8
889,109.0,1,0.88
890,193.0,0,0.9
891,130.0,0,0.84
892,106.0,1,0.86
893,70.0,3,0.94
894,157.0,0,0.74
895,73.0,2,0.96
896,148.0,0,0.82
897,172.0,0,0.9
898,151.0,0,0.9
899,148.0,1,0.96
900,127.0,0,0.96
901,169.0,0,0.82
902,97.0,1,0.92
903,142.0,0,0.86
904,130.0,1,0.78
905,136.0,0,0.9
906,184.0,0,0.82
907,133.0,0,0.94
908,127.0,1,0.88
909,154.0,0,0.86
910,160.0,0,0.72
911,184.0,0,0.84
912,85.0,2,0.76
913,178.0,0,0.8
914,124.0,1,0.74
915,121.0,0,0.8
916,73.0,1,0.7
917,151.0,0,0.82
918,163.0,0,0.82
919,118.0,0,0.86
