episode,total_reward,emergency_rejections,icu_utilisation
495,-48.0,5,0.66
496,-30.0,4,0.62
497,16.0,2,0.48
498,-92.0,5,0.52
499,-49.0,7,0.42
500,-51.0,0,0.8
501,-150.0,6,0.86
502,-84.0,5,0.6
503,-65.0,3,0.5
504,-38.0,2,0.4
505,-129.0,3,0.76
506,-122.0,5,0.8
507,-134.0,5,0.8
508,-114.0,8,0.72
509,-48.0,4,0.66
510,-64.0,2,0.82
511,-76.0,2,0.68
512,-49.0,3,0.9
513,-58.0,6,0.42
514,-162.0,11,0.58
515,-76.0,4,0.62
516,-63.0,5,0.76
517,-35.0,2,0.8
518,-77.0,1,0.84
519,-139.0,6,0.6
520,-107.0,5,0.46
521,-90.0,4,0.48
522,-90.0,9,0.9
523,-53.0,7,0.3
524,-70.0,5,0.68
525,-40.0,4,0.48
526,-131.0,7,0.56
527,-58.0,5,0.72
528,-64.0,6,0.36
529,-115.0,6,0.6
530,-98.0,4,0.88
531,-98.0,6,0.58
532,-22.0,1,0.7
533,-102.0,3,0.7
534,-64.0,3,0.6
535,-52.0,4,0.8
536,-62.0,3,0.94
537,-110.0,7,0.88
538,-109.0,2,0.98
539,-27.0,2,0.84
540,-40.0,2,0.74
541,-153.0,9,0.92
542,-96.0,6,0.76
543,-28.0,6,0.52
544,-87.0,6,0.7
545,-155.0,5,0.9
546,-28.0,2,0.72
547,-45.0,1,0.72
548,-76.0,4,0.64
549,-114.0,6,0.46
550,-44.0,3,0.18
551,-67.0,5,0.74
552,-107.0,7,0.66
553,-103.0,5,0.7
554,-100.0,7,0.62
555,-82.0,3,0.72
556,-98.0,5,0.64
557,-41.0,5,0.64
558,-132.0,6,0.7
559,-33.0,5,0.76
560,-73.0,4,0.44
561,-35.0,3,0.34
562,-26.0,4,0.5
563,-72.0,4,0.58
564,-96.0,2,0.8
565,-70.0,3,0.76
566,-88.0,4,0.6
567,-2.0,4,0.5
568,-21.0,1,0.62
569,-70.0,4,0.5
570,-90.0,5,0.68
571,-131.0,5,0.72
572,-88.0,4,0.62
573,-104.0,10,0.8
574,-35.0,5,0.52
575,-21.0,0,0.76
576,-174.0,10,0.76
577,-25.0,3,0.44
578,-49.0,5,0.56
579,-100.0,3,0.88
580,-66.0,3,0.54
581,-120.0,6,0.7
582,-112.0,9,0.78
583,-51.0,3,0.7
584,-30.0,3,0.58
585,-40.0,7,0.72
586,-79.0,6,0.88
587,-59.0,6,0.78
588,-120.0,5,0.68
589,-135.0,5,0.62
590,-105.0,7,0.7
591,-91.0,8,0.66
592,-114.0,9,0.7
593,-72.0,5,0.78
594,-27.0,5,0.62
595,-11.0,1,0.92
596,-51.0,3,0.54
597,-24.0,1,0.68
598,9.0,2,0.52
599,-90.0,8,0.58
600,-59.0,6,0.54
